season,team_id,venue_id,venue_name_short,name_display_club,is_diff_configuration,distance_lf_line,distance_lf_gap,distance_cf,distance_rf_gap,distance_rf_line,distance_deepest,height_lf_line,height_lf_gap,height_cf,height_rf_gap,height_rf_line,height_highest,avg_fence_distance,avg_hr_distance,fence_area,avg_fence_height,year,elevation_feet,n,avg_roof,avg_daytime,avg_temperature,extra_distance,temperature_extra_distance,elevation_extra_distance,roof_extra_distance,environment_extra_distance,n_year_venue_roof_for_cool_hot_code,avg_temp_cool,extra_distance_cool,avg_temp_warm,extra_distance_warm,avg_temp_hot,extra_distance_hot
2015,108,1,Angel Stadium,Angels,0,329.44663310783227,385.90592063642345,398.30983321067475,368.99918271965265,329.530991823565,402.45435372554414,3.339,6.839,6.839,16.78,3.36,16.78,374.52591478632996,383.9108870085522,110167.53400925336,9.384972222222226,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,109,15,Chase Field,D-backs,0,329.64731648448,388.17758144343196,404.68652996431183,387.4382182604661,333.01370187091186,409.7153522925958,7.979,7.208,24.46,6.814,8.359,24.46,378.66613733922355,390.2929040058902,112616.70607099532,11.62676666666666,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,110,2,Oriole Park at Camden Yards,Orioles,0,332.74362400017486,370.40653106464816,398.89541043630305,385.19679504170716,317.50102019740626,407.66513657909746,6.66,6.579,6.489,6.489,19.787,20.069,367.2321932203871,376.2426432203871,105918.39084412577,9.01045,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,110,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,111,3,Fenway Park,Red Sox,0,308.4317695196304,344.84759443183003,389.0707443963249,377.86244293906293,299.51487648816413,417.697517078549,37.1,37.1,17.039,3.899,3.659,37.1,362.1454209177981,382.3926264733537,103004.42397821422,20.247205555555556,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,112,17,Wrigley Field,Cubs,0,352.42971890448996,356.09736174013284,397.2244903498303,378.69814029438584,349.15850364091125,400.8094195421686,11.27,11.11,11.039,11.16,11.09,11.4,367.4152077943298,378.5823189054409,106023.98855482425,11.167111111111112,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,113,2602,Great American Ball Park,Reds,0,327.69339825810727,376.139041727638,403.77323136563007,368.3521724973278,324.5286959735607,403.77323136563007,11.47,11.499,7.46,7.569,11.697,11.697,364.4051870920607,373.31238153650514,104293.91776959039,8.907194444444439,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,114,5,Progressive Field,Guardians,0,324.9180881921321,367.9723424161909,400.040473294687,374.97191761273945,324.5816135286048,408.61414766568197,20.32,20.279,7.769,7.769,12.16,20.32,366.0366769198311,379.69538803094224,105229.88341395068,13.658711111111112,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,115,19,Coors Field,Rockies,0,347.1811729661587,407.74742583997437,414.7261166727116,385.16157388982606,350.4834628826285,422.5348739952525,12.39,7.649,7.569,16.079,15.969,16.079,385.5958444521606,397.107438896605,116776.2624665428,11.511594444444446,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,116,2394,Comerica Park,Tigers,0,341.25567839061773,382.44525784157213,421.7235269716039,393.10352867037443,328.2181881132482,428.3155847769893,6.379,6.47,8.188,13.288,9.209,13.288,379.0400934131251,387.18439341312506,112839.24773520492,8.144300000000001,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,117,2392,Daikin Park,Astros,0,314.6772148532526,366.9848185762881,434.2115563503095,377.70564184958766,325.48585383753567,436.66440461430085,18.149,23.899,9.199,9.299,6.239,23.899,368.05214849928643,380.59445961039756,106391.90761477436,12.542311111111111,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,118,7,Kauffman Stadium,Royals,0,327.97231536669733,393.2084370109916,410.0777495670418,392.9277078009463,327.5826979117671,410.0788405292051,9.669,9.12,7.598,9.1,9.758,9.87,383.90277061670685,392.59573172781796,115753.03162441406,8.692961111111114,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,119,22,Dodger Stadium,Dodgers,0,326.25216803004247,371.88227625680963,394.98324116044034,371.69465745531244,326.52057375921373,394.98324116044034,3.688,7.84,7.958,7.931,3.798,8.008,368.82494853078464,376.13077075300686,106839.15938774186,7.305822222222221,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,120,3309,Nationals Park,Nationals,0,336.3027854521834,377.2864148840376,402.1429330999419,369.59636336987217,334.81682358691677,406.96068007824596,8.59,7.639,7.32,13.38,16.39,16.39,370.7150913336361,380.3704580003028,107937.01743774532,9.655366666666668,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,121,3289,Citi Field,Mets,0,334.8955149758299,367.7957500232175,407.7963525092701,372.7874406301871,329.7875930302848,408.77460450091974,12.219,8.09,8.289,8.26,8.19,12.219,371.06229669864143,379.210902254197,108139.29601904558,8.148605555555553,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,133,10,Oakland Coliseum,Athletics,0,329.34057221568094,370.3401624149039,399.15903218877196,370.6925687380992,329.6966830211066,400.4046972957135,7.95,14.819,7.738,14.74,7.9,15.359,370.3460151763602,381.3571596208046,107722.20476826116,11.011144444444442,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,134,31,PNC Park,Pirates,0,324.17558978126993,399.9045280178261,398.3762586780052,378.21367829888106,319.5807032152371,409.34447280908256,5.258,5.259,9.99,10.13,22.129,22.689,373.3964419333232,384.949869711101,109504.06262905257,11.553427777777781,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,135,2680,Petco Park,Padres,0,334.55280355058005,379.9246071119057,395.5525346842814,388.3801050911062,321.6012099649067,398.90372059033297,4.61,6.32,7.36,7.538,9.1,9.1,370.4138668777981,377.1642668777981,107761.68030808566,6.750400000000002,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,136,680,T-Mobile Park,Mariners,0,331.14420142250236,379.173908697196,400.9304086470962,382.19787634914286,327.2637791112065,405.665358807358,7.564,7.602,7.551,7.551,7.464,7.602,367.7075567794741,375.2454790016963,106192.78035450427,7.537922222222219,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,137,2395,Oracle Park,Giants,0,339.7648784746855,376.62932483404495,398.6552705332078,419.37141881014054,303.97202987834584,419.37141881014054,8.047,8.099,8.047,8.047,23.794,23.794,373.91595043826715,386.24562266048935,109808.9817978707,12.329672222222223,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,138,2889,Busch Stadium,Cardinals,0,334.9178396256335,390.5737652453552,399.3634042103695,390.5003821747929,335.0897677518956,400.8400253851781,7.538,7.54,7.538,7.54,7.538,7.54,377.1509298782464,384.6885632115798,111717.25265383023,7.537633333333333,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,139,12,Tropicana Field,Rays,0,313.17526925490677,383.13626750993996,403.87223381562575,383.64126231558186,320.03200928718644,414.7936905519308,4.959,11.49,9.13,11.269,9.069,11.49,373.7069370533258,384.08277038665915,109686.25297514413,10.375833333333333,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,140,13,Globe Life Park in Arlington,Rangers,0,331.7438722468797,389.998718459494,398.6399029446908,377.1155012134425,323.5791123730707,405.4321642882417,12.148,5.819,5.87,5.88,5.89,12.148,375.89323062685065,383.54043062685065,110973.39963665722,7.647200000000004,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,141,14,Rogers Centre,Blue Jays,0,328.02386688091224,383.3363476635105,400.0946985447859,383.66953595370984,328.44311711805244,400.344902494004,9.909,9.839,9.88,9.738,9.94,9.969,370.48785131797894,380.37010131797894,107804.73206458849,9.882249999999994,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,142,3312,Target Field,Twins,0,338.2289251384499,382.0313760367885,403.865623693451,373.30041830476165,327.83326953196627,409.9937768050871,7.71,7.71,7.54,23.169,20.35,23.169,369.77319706624314,383.70928595513203,107389.23232001197,13.936088888888886,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,143,2681,Citizens Bank Park,Phillies,0,328.60183130542623,374.5315677614104,401.5581212517386,369.9126270281554,329.6291343443889,408.1218294144383,9.79,9.76,5.649,12.549,12.549,16.999,364.84999039336293,375.29432928225185,104548.68138557968,10.444338888888893,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,144,16,Turner Field,Braves,0,336,388.5,401.9,396.2,331,402.8,8,8,8,8,8,8,379.4302162813676,387.4302162813676,113071.64439137098,8,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,145,4,Rate Field,White Sox,0,328.41076573082546,378.7345959213482,399.68025443716533,379.5630226207237,334.62240609758226,401.2812945525432,6.669,6.808,6.749,6.779,6.738,7.039,368.69446854326856,375.45191854326856,106763.57932527002,6.7574499999999995,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,146,4169,loanDepot park,Marlins,0,343.66031665670886,387.1960160164309,419.8460596152644,395.6323846438591,334.4389999320106,422.4609993232355,11.5,11.5,15.423076923076923,11.5,11.5,20,380.70414931128823,392.9097048668438,113832.19277326064,12.20555555555556,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
